"","x0...estimator.1....train.X1...estimator.2....train.X2...estimator.3."
"1",-13.3308018832202
"2",-10.0570008997482
"3",-30.3807242995263
"4",-21.2367848508134
"5",-20.4253916574771
"6",3.00582807253404
"7",-16.5668173121388
"8",-11.0827241946868
"9",-7.43721640736297
"10",-18.5721316688376
"11",-8.64832185816439
"12",-28.746825088509
"13",6.58242120709887
"14",-4.58872387057159
"15",-20.1901851960695
"16",2.33501699162981
"17",-4.16580674671965
"18",-8.72071263923515
"19",5.09593391693269
"20",-29.5599302958006
"21",-26.9383486675985
"22",6.93512560489198
"23",-16.0838302714604
"24",4.7507063114057
"25",0.42677251615962
"26",-18.8532541500354
"27",-14.7241359015649
"28",2.06517495554012
"29",-15.5925170378024
"30",1.13441353968266
"31",-30.764913890635
"32",-2.77907921012366
"33",-1.80325214684163
"34",6.66391014344027
"35",2.73164482087152
"36",-27.7015824564245
"37",-6.27726543849272
"38",6.85801552512607
"39",2.22942478818348
"40",-6.44311830491248
"41",-26.296676096083
"42",-9.40061802530116
"43",-21.7004408067528
"44",1.37078833040559
"45",-11.8027705611598
"46",-5.37528660263323
"47",1.33022518135257
"48",-18.85985397916
"49",-20.0722481743991
"50",4.86309788827085
